"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"1410",346798,"Kyle Lohse",2013,"3013","46.80","0.269","0.161","0.283","0.430","0.322","0.042","0.000","87","323","null","null","null","90.1","null","70","566","840","null","null","null","null","null","null","null","null","null"
"1240",453311,"Tim Lincecum",2014,"2665","46.53","0.277","0.182","0.316","0.459","0.379","0.126","0.000","67","242","null","null","null","90.1","null","79","494","737","null","null","null","null","null","null","null","null","null"
"1135",450308,"Jered Weaver",2015,"2453","46.27","0.306","0.198","0.308","0.504","0.371","0.359","0.278","85","278","87.9","19.3","2110","83.8","83.70","48","454","669","-0.1","6.62","111","146","106","148","292","319","302"
"1400",433587,"Felix Hernandez",2015,"3040","46.05","0.269","0.191","0.303","0.460","0.350","0.326","0.252","101","376","88.1","9.6","1926","92.3","92.19","92","632","748","-0.1","6.50","111","145","108","146","290","313","294"
"1372",346798,"Kyle Lohse",2014,"3002","45.70","0.293","0.186","0.311","0.479","0.361","0.068","0.000","91","311","null","null","null","90.0","null","68","587","779","null","null","null","null","null","null","null","null","null"
"798",285064,"Ryan Vogelsong",2013,"1748","45.65","0.309","0.172","0.327","0.480","0.376","0.073","0.000","63","204","null","null","null","89.7","null","47","373","418","null","null","null","null","null","null","null","null","null"
"40",446372,"Corey Kluber",2011,"89","44.94","0.429","0.000","0.500","0.429","0.500","0.255","0.000","3","7","null","null","null","92.5","null","2","15","24","null","null","null","null","null","null","null","null","null"
"1137",346798,"Kyle Lohse",2015,"2545","44.68","0.344","0.277","0.348","0.621","0.426","0.409","0.322","88","256","90.7","17.4","2135","89.9","88.55","46","447","683","-1.4","5.55","106","148","108","147","292","318","295"
"588",453311,"Tim Lincecum",2015,"1325","44.38","0.284","0.110","0.319","0.394","0.344","0.350","0.275","31","109","86.2","13.6","2174","88.0","88.41","44","236","351","0.4","6.58","112","148","108","146","292","317","292"
"471",446372,"Corey Kluber",2012,"1083","43.49","0.374","0.261","0.384","0.635","0.452","0.066","0.000","43","115","null","null","null","93.2","null","18","185","283","null","null","null","null","null","null","null","null","null"
"1416",518516,"Madison Bumgarner",2012,"3269","43.32","0.244","0.184","0.278","0.428","0.307","0.045","0.000","73","299","null","null","null","91.6","null","98","594","813","null","null","null","null","null","null","null","null","null"
"342",453311,"Tim Lincecum",2016,"806","42.43","0.426","0.294","0.431","0.721","0.524","0.470","0.356","29","68","85.5","19.8","2100","88.3","88.33","16","129","212","0.0","6.52","106","149","108","146","299","326","301"
