"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"780",430912,"Matt Cain",2016,"1568","49.74","0.254","0.150","0.282","0.405","0.299","0.297","0.248","44","173","81.7","10.7","2482","83.0","81.35","97","339","435","-1.6","5.19","111","148","110","147","285","307","297"
"1628",453311,"Tim Lincecum",2013,"3281","49.62","0.193","0.110","0.267","0.302","0.235","0.035","0.000","79","410","null","null","null","82.1","null","300","799","822","null","null","null","null","null","null","null","null","null"
"1611",519242,"Chris Sale",2013,"3248","49.60","0.194","0.098","0.282","0.292","0.238","0.041","0.000","77","397","null","null","null","80.9","null","257","700","898","null","null","null","null","null","null","null","null","null"
"491",430912,"Matt Cain",2015,"993","49.45","0.296","0.240","0.313","0.536","0.375","0.384","0.302","37","125","88.8","11.0","2256","84.0","82.29","58","212","275","-1.7","5.13","111","149","109","147","289","316","296"
"1651",430912,"Matt Cain",2012,"3345","49.36","0.195","0.112","0.229","0.306","0.229","0.025","0.000","87","447","null","null","null","84.3","null","188","786","856","null","null","null","null","null","null","null","null","null"
"1015",477132,"Clayton Kershaw",2016,"2062","49.22","0.134","0.049","0.213","0.184","0.145","0.183","0.163","38","283","82.3","4.7","2383","83.7","82.95","229","557","452","-0.7","5.95","114","152","109","145","291","309","288"
"705",430912,"Matt Cain",2014,"1440","48.96","0.230","0.185","0.256","0.416","0.292","0.037","0.000","41","178","null","null","null","84.3","null","90","322","378","null","null","null","null","null","null","null","null","null"
"1750",448306,"James Shields",2011,"3576","48.94","0.176","0.109","0.245","0.284","0.208","0.018","0.000","79","450","null","null","null","81.8","null","314","881","861","null","null","null","null","null","null","null","null","null"
"404",448802,"Jaime Garcia",2013,"826","48.91","0.212","0.168","0.267","0.381","0.265","0.024","0.000","24","113","null","null","null","82.4","null","71","204","195","null","null","null","null","null","null","null","null","null"
"1636",450308,"Jered Weaver",2014,"3352","48.81","0.225","0.129","0.266","0.354","0.276","0.047","0.000","96","427","null","null","null","75.2","null","237","769","861","null","null","null","null","null","null","null","null","null"
"1676",453562,"Jake Arrieta",2015,"3438","48.75","0.160","0.081","0.227","0.242","0.201","0.227","0.194","77","480","83.1","5.2","2361","87.7","86.72","283","891","771","-1.0","5.85","114","150","109","148","285","299","286"
"1213",425844,"Zack Greinke",2016,"2503","48.46","0.206","0.129","0.257","0.334","0.248","0.262","0.221","67","326","83.5","4.5","2126","84.3","83.94","205","645","558","-0.4","5.87","112","152","118","149","301","323","302"
"1333",519242,"Chris Sale",2014,"2753","48.42","0.191","0.101","0.276","0.293","0.232","0.035","0.000","66","345","null","null","null","83.4","null","242","649","677","null","null","null","null","null","null","null","null","null"
"1610",518516,"Madison Bumgarner",2014,"3372","47.75","0.243","0.125","0.304","0.368","0.281","0.035","0.000","109","448","null","null","null","84.4","null","181","798","801","null","null","null","null","null","null","null","null","null"
"1574",453311,"Tim Lincecum",2012,"3299","47.71","0.255","0.204","0.324","0.459","0.338","0.070","0.000","96","377","null","null","null","82.7","null","274","749","818","null","null","null","null","null","null","null","null","null"
"527",519242,"Chris Sale",2011,"1105","47.69","0.124","0.016","0.232","0.140","0.138","0.026","0.000","16","129","null","null","null","83.8","null","93","214","312","null","null","null","null","null","null","null","null","null"
"813",519455,"Jordan Zimmermann",2016,"1707","47.63","0.231","0.133","0.270","0.364","0.272","0.278","0.234","52","225","82.4","12.6","2354","85.7","84.90","93","419","390","-0.8","5.79","110","152","114","146","303","322","292"
"1661",446372,"Corey Kluber",2014,"3500","47.46","0.174","0.073","0.281","0.247","0.200","0.024","0.000","83","477","null","null","null","86.9","null","341","903","749","null","null","null","null","null","null","null","null","null"
"1549",446372,"Corey Kluber",2015,"3274","47.31","0.183","0.095","0.273","0.278","0.217","0.211","0.176","73","399","82.6","10.8","2359","86.8","86.59","326","856","680","-0.2","5.99","109","150","111","148","285","305","291"
"1708",448306,"James Shields",2012,"3617","47.22","0.208","0.121","0.272","0.329","0.241","0.018","0.000","86","414","null","null","null","83.7","null","293","857","841","null","null","null","null","null","null","null","null","null"
"1565",519242,"Chris Sale",2015,"3323","47.10","0.216","0.081","0.328","0.298","0.249","0.225","0.193","85","393","82.3","9.0","2143","83.4","82.45","280","737","818","-1.0","5.95","110","148","108","146","294","306","280"
