"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"1750",136880,"Roy Halladay",2011,"3469","50.45","0.266","0.092","0.305","0.358","0.268","0.008","0.000","158","595","null","null","null","88.4","null","193","1134","596","null","null","null","null","null","null","null","null","null"
"1579",430935,"Cole Hamels",2011,"3132","50.42","0.246","0.155","0.273","0.401","0.276","0.006","0.000","132","536","null","null","null","88.5","null","186","974","592","null","null","null","null","null","null","null","null","null"
"1781",425794,"Adam Wainwright",2013,"3533","50.41","0.285","0.148","0.317","0.432","0.308","0.007","0.000","179","629","null","null","null","86.5","null","145","1123","648","null","null","null","null","null","null","null","null","null"
"318",448802,"Jaime Garcia",2014,"631","50.40","0.313","0.259","0.305","0.571","0.377","0.006","0.000","35","112","null","null","null","88.3","null","27","202","115","null","null","null","null","null","null","null","null","null"
"981",543243,"Sonny Gray",2016,"1947","50.39","0.321","0.225","0.315","0.546","0.368","0.356","0.312","114","355","87.3","9.7","2382","90.9","90.87","63","625","349","0.0","6.24","107","152","107","147","292","320","298"
"1801",448306,"James Shields",2011,"3576","50.36","0.253","0.167","0.261","0.420","0.296","0.016","0.000","154","609","null","null","null","86.4","null","172","1123","667","null","null","null","null","null","null","null","null","null"
"1630",543037,"Gerrit Cole",2015,"3239","50.32","0.273","0.119","0.314","0.392","0.284","0.307","0.274","147","538","87.7","11.0","2150","93.5","93.18","146","1069","548","-0.3","6.21","108","151","109","148","297","318","292"
"556",519242,"Chris Sale",2011,"1105","50.32","0.253","0.175","0.275","0.428","0.294","0.012","0.000","42","166","null","null","null","90.6","null","49","284","267","null","null","null","null","null","null","null","null","null"
"1509",543699,"Tanner Roark",2014,"2999","50.32","0.265","0.140","0.281","0.404","0.289","0.006","0.000","144","544","null","null","null","88.6","null","130","928","566","null","null","null","null","null","null","null","null","null"
"1860",456034,"David Price",2011,"3698","50.30","0.257","0.182","0.285","0.438","0.296","0.007","0.000","150","584","null","null","null","91.9","null","194","1117","736","null","null","null","null","null","null","null","null","null"
"1794",136880,"Roy Halladay",2010,"3568","50.28","0.290","0.158","0.313","0.448","0.313","0.001","0.000","197","679","null","null","null","89.5","null","176","1170","609","null","null","null","null","null","null","null","null","null"
"1118",453329,"Clay Buchholz",2016,"2226","50.22","0.280","0.206","0.274","0.486","0.325","0.329","0.277","109","389","85.2","18.6","2287","87.3","87.15","101","709","404","-0.1","6.27","106","149","114","146","281","319","289"
"1683",448306,"James Shields",2010,"3351","50.22","0.340","0.231","0.351","0.571","0.388","0.007","0.000","199","585","null","null","null","87.7","null","136","1086","589","null","null","null","null","null","null","null","null","null"
"1292",434671,"Anibal Sanchez",2016,"2578","50.12","0.307","0.244","0.318","0.551","0.361","0.323","0.273","136","443","84.5","23.0","2196","88.3","88.00","140","852","439","-0.3","6.17","109","151","111","145","303","322","292"
"1638",518516,"Madison Bumgarner",2012,"3269","50.11","0.271","0.185","0.279","0.456","0.306","0.001","0.000","154","568","null","null","null","88.6","null","130","1063","567","null","null","null","null","null","null","null","null","null"
"1495",448802,"Jaime Garcia",2011,"2987","50.05","0.330","0.148","0.342","0.478","0.348","0.011","0.000","176","534","null","null","null","87.4","null","120","889","590","null","null","null","null","null","null","null","null","null"
"1489",594798,"Jacob deGrom",2015,"2976","50.03","0.248","0.130","0.271","0.378","0.266","0.296","0.267","116","468","86.5","13.1","2194","92.8","93.20","200","1029","453","0.4","6.78","113","150","114","145","289","308","290"
"33",448855,"Junior Guerra",2015,"66","50.00","0.545","0.273","0.556","0.818","0.591","0.263","0.268","6","11","87.7","14.1","2002","90.6","90.06","3","23","10","-0.5","6.09","106","148","104","144","294","313","278"
"1561",453562,"Jake Arrieta",2016,"3125","49.95","0.234","0.138","0.259","0.372","0.263","0.297","0.262","117","500","83.3","15.3","2356","92.2","91.92","170","973","581","-0.3","6.29","113","151","109","148","294","319","292"
"826",450729,"Doug Fister",2015,"1654","49.94","0.325","0.197","0.335","0.522","0.356","0.342","0.301","94","289","87.9","10.1","1905","84.5","84.77","42","473","347","0.3","6.68","109","150","105","146","288","301","293"
"1504",346798,"Kyle Lohse",2013,"3013","49.92","0.289","0.194","0.283","0.484","0.327","0.004","0.000","158","546","null","null","null","85.6","null","111","947","544","null","null","null","null","null","null","null","null","null"
"1558",434622,"Ubaldo Jimenez",2012,"3123","49.89","0.299","0.217","0.314","0.516","0.350","0.012","0.000","153","512","null","null","null","89.1","null","134","933","620","null","null","null","null","null","null","null","null","null"
"1593",450729,"Doug Fister",2011,"3196","49.84","0.288","0.127","0.310","0.416","0.303","0.008","0.000","154","534","null","null","null","87.0","null","94","889","692","null","null","null","null","null","null","null","null","null"
"1642",543243,"Sonny Gray",2014,"3295","49.83","0.268","0.114","0.285","0.382","0.285","0.009","0.000","158","589","null","null","null","89.4","null","119","986","643","null","null","null","null","null","null","null","null","null"
